mmsi,max_jump_km
212376000,8.3
212406000,254.0
212453000,262.5
212491000,294.1
212499000,137.5
212519000,286.6
212521000,311.2
212530000,170.2
212577000,20.8
212584000,2.4
212587000,52.9
212613000,3.9
212617000,239.9
212651000,283.0
212710000,2.3
212748000,24.1
212775000,365.7
212787000,55.8
212797000,491.0
212811000,582.6
212816000,332.6
212821000,8.2
212880000,7.5
212882000,51.2
212891000,23.5
212949000,104.4
212963000,3.8
215064000,204.9
215078000,290.8
215211000,120.3
215221000,158.7
215253000,256.6
215312000,192.8
215331000,239.1
215345000,29.3
215371000,29.6
215475000,21.2
215514000,269.1
215516000,7.2
215540000,279.8
215627000,349.8
215744000,265.0
215767000,9.8
215785000,160.2
215804000,9.6
215809000,5.1
215902000,277.4
215903000,33.9
215908000,301.8
215935000,334.4
218000200,19.7
218005000,318.1
218005660,5.1
218007750,382.7
218014900,5.6
218019000,5.4
218020080,38.0
218027530,5.6
218027540,5.8
218027560,96.3
218030050,11.3
218030480,2.5
218031690,16.9
218031900,98.7
218032960,4.9
218033200,20.1
218035980,301.6
218037430,464.7
218039680,247.5
218040040,20.6
218041490,256.3
218042080,6.9
218045260,2.1
218051700,17.9
218053390,3.9
218055710,296.7
218057000,2.6
218060480,277.7
218085000,2.1
218098000,2.7
218108000,85.9
218143000,178.9
218176000,302.8
218179000,20.1
218197000,1064.5
218292000,65.1
218321000,143.1
218356000,2.6
218413000,1041.6
218492000,191.6
218601000,145.2
218728000,279.2
218795000,150.5
218797000,28.0
218801000,340.5
218805000,326.7
218809000,208.7
218816000,4.8
218856000,2.1
218858000,116.8
218861000,13.3
219000155,19.9
219000161,3.2
219000179,4.4
219000184,8.4
219000185,40.9
219000189,5.6
219000191,8.9
219000245,8.1
219000333,5.5
219000416,321.2
219000429,38.1
219000513,57.9
219000543,777.3
219000551,5.3
219000552,2.0
219000554,107.4
219000558,2.2
219000575,4.6
219000603,41.5
219000675,187.4
219000751,293.5
219000784,279.0
219000805,2.6
219000818,3.9
219000875,30.5
219000895,18.5
219000899,2.8
219000907,597.5
219000942,6.5
219000962,510.7
219000968,418.2
219000996,3.8
219001013,8.4
219001058,322.0
219001066,4.9
219001181,133.7
219001204,8.1
219001253,292.9
219001461,777.3
219001588,64.8
219001619,6.6
219001682,51.9
219002136,2.7
219002149,13.6
219002187,124.3
219002315,60.0
219002332,71.6
219002339,29.7
219002349,8.1
219002392,2.8
219002418,321.8
219002587,26.0
219002731,4.6
219002761,31.3
219002794,7.6
219002857,2.1
219003064,47.2
219003066,13.2
219003121,472.2
219003217,5.4
219003232,20.5
219003369,23.7
219003383,20.1
219003537,245.4
219003541,12.2
219003596,18.9
219003826,222.4
219003959,89.0
219003966,46.4
219004054,71.2
219004128,9.0
219004145,2.4
219004203,15.9
219004239,273.7
219004242,4.3
219004265,2.2
219004275,37.2
219004303,16.3
219004383,16.9
219004529,7.5
219004633,2.2
219005012,6.5
219005068,9.5
219005134,467.8
219005226,48.7
219005323,53.9
219005485,3.0
219005511,9.8
219005659,2.7
219005732,4.8
219005778,3.8
219005826,1061.1
219005847,2.4
219005878,6.4
219005881,12.2
219005901,37.8
219005904,642.2
219005921,1127.0
219005941,50.7
219005956,2.9
219005998,36.8
219006024,187.0
219006026,61.8
219006091,58.2
219006092,23.9
219006221,7.1
219006248,8.4
219006382,78.9
219006387,2.8
219006391,51.5
219006443,112.3
219006498,26.9
219006514,10.2
219006564,151.5
219006632,18.2
219006744,95.7
219006795,14.5
219007511,10.6
219007572,3.4
219007577,44.9
219007628,15.0
219007697,37.9
219007705,309.0
219007781,25.9
219007932,4.0
219008000,243.5
219008001,169.2
219008096,80.6
219008384,132.5
219008443,344.2
219008455,8.7
219008518,6.1
219008701,44.3
219008805,19.2
219008993,14.4
219009229,5.9
219009338,150.9
219009435,2.8
219009542,44.7
219009602,60.7
219009628,39.5
219009677,42.4
219009721,9.8
219009799,12.1
