MMSI,Name,ship_type,IMO,n_suspicious_points,avg_crit,max_crit,min_sog,avg_sog,first_seen,last_seen,duration_minutes,date_utc
219002251,R200 COMETEN,Undefined,,155,0.6204768,0.6647913,0.3,2.3645161290322583,2022-09-26 02:00:10+02:00,2022-09-26 03:18:33+02:00,78.38333333333334,2022-09-26
247370400,ELIANA MARINO,Undefined,9226360,296,0.66118485,0.66118485,0.1,0.19898648648648648,2022-09-26 02:06:11+02:00,2022-09-27 01:42:35+02:00,1416.4,2022-09-26
250005932,ARKLOW WOOD,Undefined,9818967,175,0.66118485,0.66118485,0.1,0.10628571428571429,2022-09-26 02:09:42+02:00,2022-09-27 01:57:42+02:00,1428.0,2022-09-26
211553000,BENEDIKT,Cargo,9327578,19,0.6551913,0.6551913,3.7,3.810526315789473,2022-09-26 10:00:36+02:00,2022-09-26 10:03:36+02:00,3.0,2022-09-26
215743000,MERBABU,Tanker,9388364,296,0.6181038,0.6551913,2.5,3.1888513513513512,2022-09-26 22:01:50+02:00,2022-09-26 22:49:50+02:00,48.0,2022-09-26
219017733,SKAWLINK4,Towing,,224,0.61312574,0.6551913,2.4,3.2495535714285713,2022-09-26 22:06:38+02:00,2022-09-26 22:39:42+02:00,33.06666666666667,2022-09-26
229003000,VIDEN,Cargo,9621869,441,0.6326277,0.6551913,0.9,2.144671201814059,2022-09-26 18:36:30+02:00,2022-09-26 19:53:31+02:00,77.01666666666667,2022-09-26
229880000,BALTIC SAPPHIRE,Tanker,9443425,96,0.6551913,0.6551913,0.1,1.6239583333333334,2022-09-26 03:40:01+02:00,2022-09-26 08:29:12+02:00,289.18333333333334,2022-09-26
218098000,IDA RAMBOW,Cargo,9354478,1,0.653959,0.653959,0.5,0.5,2022-09-26 07:11:39+02:00,2022-09-26 07:11:39+02:00,0.0,2022-09-26
255805470,ELSA ESSBERGER,Tanker,9481001,9,0.653959,0.653959,3.2,3.3444444444444446,2022-09-26 02:15:34+02:00,2022-09-26 02:18:59+02:00,3.4166666666666665,2022-09-26
355351000,,Undefined,,1,0.653959,0.653959,3.6,3.6,2022-09-26 02:05:41+02:00,2022-09-26 02:05:41+02:00,0.0,2022-09-26
538003798,ALETHINI,Cargo,9217826,22,0.6532547,0.6532547,3.4,3.6181818181818177,2022-09-26 04:52:34+02:00,2022-09-26 04:56:05+02:00,3.5166666666666666,2022-09-26
211226140,BALTIC LIFT,Undefined,8872796,6539,0.64927316,0.64927316,0.1,0.13589233827802416,2022-09-26 02:00:00+02:00,2022-09-27 01:59:20+02:00,1439.3333333333333,2022-09-26
211269690,WINDCAT 35,HSC,,81,0.64927316,0.64927316,0.1,1.5950617283950617,2022-09-26 07:35:03+02:00,2022-09-26 13:26:07+02:00,351.06666666666666,2022-09-26
219016663,BRINGER,HSC,9646132,618,0.59685767,0.63431996,0.1,0.6375404530744336,2022-09-26 08:06:21+02:00,2022-09-26 15:11:18+02:00,424.95,2022-09-26
219024175,DANPILOT FOXTROT,Pilot,9839521,48,0.632173,0.632173,3.5,3.8354166666666667,2022-09-27 00:26:04+02:00,2022-09-27 00:34:59+02:00,8.916666666666666,2022-09-26
211774510,SY HEDWIG,Pleasure,,6,0.6296376,0.6296376,3.6,3.733333333333333,2022-09-26 09:40:01+02:00,2022-09-26 09:43:31+02:00,3.5,2022-09-26
219026257,DANPILOT OSCAR,Pilot,9878448,179,0.6246971,0.6246971,0.1,1.052513966480447,2022-09-26 05:46:09+02:00,2022-09-26 05:58:49+02:00,12.666666666666666,2022-09-26
538004172,DUBAI ATTRACTION,Tanker,9422536,334,0.6246971,0.6246971,0.1,0.6508982035928144,2022-09-26 05:38:13+02:00,2022-09-27 01:57:50+02:00,1219.6166666666666,2022-09-26
266452000,F/V KUNGSVIK,Fishing,,89,0.61589605,0.61589605,2.2,2.4157303370786516,2022-09-26 07:57:34+02:00,2022-09-26 08:13:08+02:00,15.566666666666666,2022-09-26
219525000,HDMS HVIDBJOERNEN,Military,,26,0.6110877,0.6110877,2.4,3.0115384615384615,2022-09-26 14:01:01+02:00,2022-09-26 14:03:57+02:00,2.933333333333333,2022-09-26
219016831,SULEJMA,Sailing,,112,0.6052923,0.6052923,0.1,0.10089285714285715,2022-09-26 02:38:03+02:00,2022-09-27 01:44:02+02:00,1385.9833333333333,2022-09-26
