mmsi,reason,span_km,ping_count,name,type
91800265,base_station,119.284,11,MMSI 91800265,other
91806066,stationary,0.022,2,Onwa33Nt 84%,other
91808888,base_station,101.116,264,Onwa33Nt,fishing
97000031,base_station,16.914,48,Keep Clear 0.5Nm,fishing
97000033,stationary,0.0,2,Keep Clear 0.5Nm,other
97000046,base_station,61.783,365,Keep Clear 0.5Nm 78%,fishing
97000047,base_station,146.116,201,Net Boj To Ragna  10,fishing
97000048,base_station,87.535,1372,Keep Clear 0.5 Nm 98,other
97000050,base_station,81.037,965,Keep Clear 0.5Nm 09,other
97000070,base_station,117.064,1102,Keep Clear 0.5Nm 100,fishing
97000071,base_station,45.317,153,Keep Clear 0.5Nm 100,fishing
97000090,base_station,64.565,991,Keep Clear 0.5Nm 94%,other
97000091,base_station,123.885,2996,Keep Clear 0.5 Nm 10,fishing
97000092,base_station,90.341,701,Keep Clear 0.25Nm 94,fishing
97000093,base_station,123.5,1519,Keep Clear 0.25Nm 91,fishing
97000099,stationary,0.004,2,Keep Clear 0.25Nm 79,fishing
97000100,base_station,106.02,496,Keep Clear 0.25Nm 10,other
97000101,base_station,53.29,340,Keep Clear 0.25Nm 10,other
97000102,base_station,79.292,168,Keep Clear 0.25Nm 10,fishing
97000103,base_station,80.3,348,Keep Clear 0.25Nm 37,other
97001001,base_station,147.311,226,Bouy Gg237 Marika 10,other
97001101,base_station,6.679,2,Hm94 Anchor Buoy 97%,fishing
99912345,base_station,13.539,6,Karel Doorman,other
99999999,base_station,143.316,43,MMSI 99999999,other
109010172,stationary,0.008,2,109010172,other
109040090,stationary,0.046,14,Iver Grej,other
109050026,stationary,0.059,2,Breda [Dk],pleasure
109050787,stationary,0.034,4,109050787,other
109060056,stationary,0.0,2,Nesegutten Bouy,other
109060219,stationary,0.046,2,Stormbryn Bouy,other
109080049,stationary,0.011,2,Gg760 Terneskar Bouy,other
111265133,stationary,0.023,58,Ffk133,other
116666682,stationary,0.0,2,MMSI 116666682,other
117440512,stationary,0.003,2,MMSI 117440512,other
117473316,stationary,0.011,2,MMSI 117473316,other
118632762,stationary,0.008,2,MMSI 118632762,other
119000050,stationary,0.002,6,Stalnabb,other
119000151,stationary,0.02,2,Sara Iii,pleasure
119000174,stationary,0.001,2,Onwashenzhen,fishing
119000177,stationary,0.001,2,Onwashenzhen,other
119000734,stationary,0.001,2,Onwashenzhen,other
119000736,stationary,0.013,2,Onwashenzhen,other
119000782,stationary,0.0,2,Onwashenzhen,other
119001027,stationary,0.001,2,MMSI 119001027,other
119001472,stationary,0.002,2,Onwashenzhen,other
119001499,stationary,0.003,2,Onwashenzhen,other
119001510,stationary,0.0,2,MMSI 119001510,other
119001554,stationary,0.001,2,Onwashenzhen,other
119001664,stationary,0.003,4,Sy Pinguin,pleasure
119001842,stationary,0.002,2,Onwashenzhen,other
119001970,stationary,0.007,2,Onwashenzhen,other
119002145,stationary,0.022,14,Onwashenzhen,other
119002156,stationary,0.004,2,MMSI 119002156,other
119002163,stationary,0.004,2,Onwashenzhen,other
119002371,stationary,0.004,2,Onwashenzhen,other
119002907,stationary,0.003,2,Onwashenzhen,other
119002910,stationary,0.003,2,Onwashenzhen,other
119002938,stationary,0.0,2,Onwashenzhen,other
119013226,stationary,0.0,2,MMSI 119013226,other
139211066,stationary,0.002,2,MMSI 139211066,other
140849466,stationary,0.04,2,MMSI 140849466,other
200736224,stationary,0.147,2,MMSI 200736224,other
205192685,stationary,0.014,210,MMSI 205192685,other
205268490,stationary,0.003,4,MMSI 205268490,other
205278330,stationary,0.01,2,Marie Therese,other
205380870,stationary,0.001,2,Fussel,other
205539790,stationary,0.001,2,MMSI 205539790,other
209020378,stationary,0.002,4,MMSI 209020378,other
209783936,stationary,0.004,2,MMSI 209783936,other
210017415,stationary,0.011,2,S/Y Cassiopeia,other
