incident_id,vessel_mmsi,vessel_name,vessel_type,signal_type,gap_start_utc,gap_end_utc,gap_hours,last_seen_lat,last_seen_lon,reappear_lat,reappear_lon,gap_midpoint_lat,gap_midpoint_lon
INC-2024-11-18,231897000,LIDAN,Cargo,ais_dark_approach,,,,55.89235,15.9659,55.89235,15.9659,55.89235,15.9659
INC-2024-11-18,232005533,VELOX,Cargo,ais_dark_approach,,,,55.51641,15.00023,55.51641,15.00023,55.51641,15.00023
INC-2024-11-18,232031869,CELTIC RAIDER,Cargo,ais_dark_approach,,,,55.51643,15.00067,55.51643,15.00067,55.51643,15.00067
INC-2024-11-18,232033027,CELTIC AMBASSADOR,Cargo,ais_dark_approach,,,,55.50128,15.00004,55.50128,15.00004,55.50128,15.00004
INC-2024-11-18,232052663,AFRICAN DRAGON,Cargo,ais_dark_approach,,,,55.76282,16.10516,55.76282,16.10516,55.76282,16.10516
INC-2024-11-18,244110823,LADY HANNEKE,Cargo,ais_dark_approach,,,,55.81305,15.75286,55.81305,15.75286,55.81305,15.75286
INC-2024-11-18,244130641,RUYTER,Cargo,ais_dark_approach,,,,55.49018,15.00041,55.49018,15.00041,55.49018,15.00041
INC-2024-11-18,244201000,NORDICA,Cargo,ais_dark_approach,,,,55.47194,15.00009,55.47194,15.00009,55.47194,15.00009
INC-2024-11-18,244340000,WESERBORG,Cargo,ais_dark_approach,,,,55.7994,15.71278,55.7994,15.71278,55.7994,15.71278
INC-2024-11-18,244519000,GENCA,Cargo,ais_blackout,2024-11-15T11:22:07+01:00,2024-11-17T14:58:02+01:00,51.6,55.98139,16.5205,55.89617,15.9345,55.93878,16.2275
INC-2024-11-18,244519000,GENCA,Cargo,ais_blackout,2024-11-17T17:54:53+01:00,2024-11-20T09:34:52+01:00,63.67,55.5696,15.00022,55.50408,15.00069,55.53684,15.00045
INC-2024-11-18,244569000,CORAL EVOLUTION,Tanker,ais_dark_approach,,,,55.49514,15.00016,55.49514,15.00016,55.49514,15.00016
INC-2024-11-18,244575000,MAASBORG,Cargo,ais_dark_approach,,,,55.82837,15.80335,55.82837,15.80335,55.82837,15.80335
INC-2024-11-18,244703000,NOORDBORG,Cargo,ais_dark_approach,,,,55.88233,15.93087,55.88233,15.93087,55.88233,15.93087
INC-2024-11-18,244780000,LADY DIANA,Cargo,ais_dark_approach,,,,55.49522,15.0,55.49522,15.0,55.49522,15.0
INC-2024-11-18,244830834,ZIJLBORG,Cargo,ais_dark_approach,,,,55.49695,15.00065,55.49695,15.00065,55.49695,15.00065
INC-2024-11-18,244855000,VIKINGBANK,Cargo,ais_dark_approach,,,,55.49042,15.00043,55.49042,15.00043,55.49042,15.00043
INC-2024-11-18,244912000,TRICA,Cargo,ais_dark_approach,,,,55.50727,15.00018,55.50727,15.00018,55.50727,15.00018
INC-2024-11-18,245302000,LADY HABARKA,Cargo,ais_dark_approach,,,,55.50436,15.0003,55.50436,15.0003,55.50436,15.0003
INC-2024-11-18,245313000,THUN RESOURCE,Tanker,ais_dark_approach,,,,55.49513,15.00016,55.49513,15.00016,55.49513,15.00016
INC-2024-11-18,245315000,MOEZELBORG,Cargo,ais_dark_approach,,,,55.90777,15.98391,55.90777,15.98391,55.90777,15.98391
INC-2024-11-18,245656000,BOTHNIABORG,Cargo,ais_dark_approach,,,,55.50365,15.00058,55.50365,15.00058,55.50365,15.00058
INC-2024-11-18,245943000,GEULBORG,Cargo,ais_dark_approach,,,,55.8297,15.78828,55.8297,15.78828,55.8297,15.78828
INC-2024-11-18,246000000,BORE WIND,Cargo,ais_blackout,2024-11-17T22:14:47+01:00,2024-11-20T12:39:28+01:00,62.41,55.56532,15.00027,55.49721,15.00044,55.53126,15.00035
INC-2024-11-18,246278000,BORE WAVE,Cargo,ais_dark_approach,,,,55.66401,16.1884,55.66401,16.1884,55.66401,16.1884
INC-2024-11-18,246541000,THUN GAZELLE,Tanker,ais_dark_approach,,,,55.5067,15.00034,55.5067,15.00034,55.5067,15.00034
INC-2024-11-18,246541000,THUN GAZELLE,Tanker,ais_blackout,2024-11-17T18:36:22+01:00,2024-11-20T18:03:54+01:00,71.46,55.78339,15.92174,55.83117,15.8127,55.80728,15.86722
INC-2024-11-18,247386800,ML FREYJA,Cargo,ais_dark_approach,,,,55.48522,15.00053,55.48522,15.00053,55.48522,15.00053
INC-2024-11-18,248221000,KEY SOUTH,Tanker,ais_dark_approach,,,,55.49853,15.00089,55.49853,15.00089,55.49853,15.00089
INC-2024-11-18,248615000,KLARIKA,Undefined,ais_dark_approach,,,,54.54833,15.00082,54.54833,15.00082,54.54833,15.00082
INC-2024-11-18,248620000,AQUARAMA,Tanker,ais_dark_approach,,,,55.48147,15.00003,55.48147,15.00003,55.48147,15.00003
INC-2024-11-18,248971000,KLARA,Cargo,ais_dark_approach,,,,55.8185,15.75677,55.8185,15.75677,55.8185,15.75677
INC-2024-11-18,248971000,KLARA,Cargo,ais_blackout,2024-11-19T05:32:27+01:00,2024-11-20T20:28:57+01:00,38.94,55.57841,15.0002,55.59818,15.01311,55.58829,15.00665
